Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1957-58,NBA,Woody Sauldsberry\sauldwo01,,23,PHW,71,33.5,12.8,10.3,0.8,,,.360,,.615,0.3,.007
1956-57,NBA,Tom Heinsohn\heinsto01,,22,BOS,72,29.9,16.2,9.8,1.6,,,.397,,.790,7.1,.160
1955-56,NBA,Maurice Stokes\stokema01,,22,ROC,67,34.7,16.8,16.3,4.9,,,.354,,.714,6.0,.125
1954-55,NBA,Bob Pettit\pettibo01,,22,MLH,72,36.9,20.4,13.8,3.2,,,.407,,.751,10.7,.194
1953-54,NBA,Ray Felix\felixra01,,23,BLB,72,37.1,17.6,13.3,1.1,,,.417,,.638,8.6,.155
1952-53,NBA,Monk Meineke\meinemo01,,22,FTW,68,33.1,10.7,6.9,2.2,,,.381,,.783,6.1,.130
1951-52,NBA,Mel Hutchins (Tie) *\hutchme01,,23,MLH,66,39.7,9.2,13.3,2.9,,,.365,,.644,3.8,.069
1951-52,NBA,Bill Tosheff (Tie) *\toshebi01,,25,INO,65,31.6,9.4,3.3,3.4,,,.327,,.824,2.9,.068
1950-51,NBA,Paul Arizin *\arizipa01,,22,PHW,65,,17.2,9.8,2.1,,,.407,,.793,13.7,
1949-50,NBA,Alex Groza *\grozaal01,,23,INO,64,,23.4,,2.5,,,.478,,.729,17.9,
1948-49,BAA,Howie Shannon *\shannho01,,25,PRO,55,,13.4,,2.3,,,.364,,.804,3.4,
1947-48,BAA,Paul Hoffman *\hoffmpa01,,22,BLB,37,,10.5,,0.6,,,.348,,.662,4.7,
